name,description,type,available_formats,source,coverage_extent,footprint,download_size,recommended_use,date_created,tags,known_issues,alternative_data,derivative_data,relationship_tag,category,download,download_link,order,wms_link,pop_link,thumb,main_image,wms_category
Adjacent States,State boundaries for Texas adjacent states,Vector,Shapefile,TxDOT,States bordering Texas,Statewide,0.6 MB,Basemap,2003,"Boundary, State, New Mexico, Oklahoma, Arkansas, Louisiana","Age, accuracy",None,None,None,Boundary,T,,F,,,,images/data-catalog/imagery/abilene_2009_1ft_nc_urban.jpg,
Airports,"The Public Use Airports database is a geographic point database of aircraft landing facilities in the United States and U.S. Territories. Attribute data is provided on the physical and operational characteristics of the landing facility, current usage including enplanements and aircraft operations, congestion levels and usage categories.",Vector,Shapefile,NTAD,Texas,Statewide,1.41MB,Basemap,1994 1999,"Airport, Transportation, Aviation, Texas, Critical Infrastructure",Age,None,None,,Transportation,T,http://tg-twdb-gemss.s3.amazonaws.com/d/transportation/tx_airports.zip,F,,,,,
Bathymetry TX Coast v0.1,"New bathymetry of the Texas-Louisiana Continental Shelf was compiled in a project carried out in 2004 - 2006 sponsored by the Texas Sea Grant College Program.  The objective of this project was to provide for the first time new bathymetry as good as the available underlying historical U. S. Coast Survey bathymetric survey data.  Mapped extent was the Texas coastal region, including bays and estuaries, and the Continental Shelf out to the 100-meter isobath.  Land topography was added, and bathymetry and land topography were co-registered to a common shoreline, providing seamless across-the-shore map coverage at a uniform contour interval of one meter.","Vector, Raster","IMG, Shapefile, GDB",,Coastal,Texas Coastal,743.27 MB,"Basemap, Research, Analysis",2007,"Depth, Ocean, Sea, Texas, Gulf of Mexico, Contour",,None,None,,Bathymetry,T,http://tg-twdb-gemss.s3.amazonaws.com/d/bathymetry/bathytopotxcoast_v0.2.zip,F,,,,,
Bathymetry TX LA Coast V0.1,"New bathymetry of the Texas-Louisiana Continental Shelf was compiled in a project carried out in 2004 - 2006 sponsored by the Texas Sea Grant College Program.  The objective of this project was to provide for the first time new bathymetry as good as the available underlying historical U. S. Coast Survey bathymetric survey data.  Mapped extent was the Texas coastal region, including bays and estuaries, and the Continental Shelf out to the 100-meter isobath.  Land topography was added, and bathymetry and land topography were co-registered to a common shoreline, providing seamless across-the-shore map coverage at a uniform contour interval of one meter.",Vector,"Shapefile, GDB",,Coastal,Texas Louisiana Coastal,445.23 MB,"Basemap, Research, Analysis",2007,"Depth, Ocean, Sea, Louisiana, Gulf of Mexico, Contour",,None,None,,Bathymetry,T,http://tg-twdb-gemss.s3.amazonaws.com/d/bathymetry/bathytopotx-la_coast_v0.zip,F,,,,,
Bexar County 2001 CIR 1m,Color infrared Aerial Photography of Bexar County from 2001.,Raster,JP2,Bexar County,Bexar County,DOQQ,N/A Downloadable,"Basemap, Research",2001,"Bexar, County, Orthoimagery, Imagery, Aerial Photography, CIR, Color, Infrared, San Antonio, Historical",,None,Web Service,,Digital Ortho Quadrangle (DOQQ),F,,T,,,,,
Bexar County 2003 NC,Natural Color Aerial Photography of Bexar County from 2003.,Raster,ECW,Bexar County,Bexar County,DOQ,N/A Downloadable,Basemap,2003,"Bexar, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, San Antonio, Historical",,None,Web Service,,Digital Ortho Quadrangle (DOQQ),F,,T,r.tnris.org/arcgis/services/Bexar/Bexar_County_2003_NC/ImageServer/WMSServer,r.tnris.org/arcgis/rest/services/Bexar/Bexar_County_2003_NC/ImageServer?f=jsapi,,,Bexar County
Bexar Metro 911 2006 NC,"Bexar Metro 911 contracted with Petroleum Place Energy Solutions, L.P. (P2ES) to acquire new color aerial photography and ground control and provide photogrammetric services to produce 6 inch ground resolution color orthophotography covering Bexar, Guadalupe, and Comal Counties, Texas for 2006.  Intended to provide an image base for 911 vector data.",Raster,SID,Bexar County Metro 911,"Bexar, Comal, Guadalupe",DOQ,N/A Downloadable,Basemap,2006,"Bexar, Comal, Guadalupe, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, 911, San Antonio, Historical",,None,Web Service,,Digital Ortho Quadrangle (DOQQ),F,,T,r.tnris.org/arcgis/services/Bexar/Bexar_County_Metro_911_2006/ImageServer/WMSServer,r.tnris.org/arcgis/rest/services/Bexar/Bexar_County_Metro_911_2006/ImageServer?f=jsapi,,,Bexar County
Bexar Metro 911 2009 NC,"Bexar Metro 911 contracted with Petroleum Place Energy Solutions, L.P. (P2ES) to acquire new color aerial photography and ground control and provide photogrammetric services to produce 6 inch ground resolution color orthophotography covering Bexar, Guadalupe, and Comal Counties, Texas for 2009.  Intended to provide an image base for 911 vector data.",Raster,SID,Bexar County Metro 911,"Bexar, Comal, Guadalupe",DOQ,N/A Downloadable,Basemap,2009,"Bexar, Comal, Guadalupe, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, 911, San Antonio, Historical",,None,Web Service,,Digital Ortho Quadrangle (DOQQ),F,,T,r.tnris.org/arcgis/services/Bexar/Bexar_County_Metro_911_2009_NC/ImageServer/WMSServer,r.tnris.org/arcgis/rest/services/Bexar/Bexar_County_Metro_911_2009_NC/ImageServer?f=jsapi,,,Bexar County
Bexar Metro 911 2010 NC,"Bexar Metro 911 contracted with Petroleum Place Energy Solutions, L.P. (P2ES) acquired new color aerial photography and ground control and provide photogrammetric services to produce 6 inch ground resolution color orthophotography covering Bexar, Guadalupe, and Comal Counties, Texas for 2010.  Intended to provide an image base for 911 vector data.",Raster,SID,Bexar County Metro 911,"Bexar, Comal, Guadalupe",DOQ,N/A Downloadable,Basemap,2010,"Bexar, Comal, Guadalupe, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, 911, San Antonio, Historical",,None,Web Service,,Digital Ortho Quadrangle (DOQQ),F,,T,r.tnris.org/arcgis/services/Bexar/Bexar_County_Metro_911_2010_NC/ImageServer/WMSServer,r.tnris.org/arcgis/rest/services/Bexar/Bexar_County_Metro_911_2010_NC/ImageServer?f=jsapi,,,Bexar County
Bexar Metro 911 2013 NC,"Bexar Metro 911 contracted with Petroleum Place Energy Solutions, L.P. (P2ES) acquired new color aerial photography and ground control and provide photogrammetric services to produce 6 inch ground resolution color orthophotography covering Bexar, Guadalupe, and Comal Counties, Texas for 2013. Intended to provide an image base for 911 vector data.",Raster,SID,Bexar County Metro 911,"Bexar, Comal, Guadalupe",DOQ,N/A Downloadable,Basemap,2013,"Bexar, Comal, Guadalupe, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, 911, San Antonio, Historical",,None,Web Service,,Digital Ortho Quadrangle (DOQQ),F,,T,r.tnris.org/arcgis/services/Bexar/Bexar_County_Metro_911_2013_NC/ImageServer/WMSServer,r.tnris.org/arcgis/rest/services/Bexar/Bexar_County_Metro_911_2013_NC/ImageServer?f=jsapi,,,Bexar County
